#eau
(-25, -20)
(25, -20)
(25, -12.08)
(24.08, -12.08)
(23.25, -12.03)
(22.33, -11.9)
(22.32, -12)
(21.64, -11.97)
(21.31, -11.92)
(20.65, -11.88)
(20.01, -11.83)
(18.6, -11.76)
(16.44, -11.67)
(14.76, -11.62)
(11.78, -11.51)
(10.13, -11.47)
(8.69, -11.4)
(8.64, -11.47)
(8.68, -11.65)
(8.83, -11.79)
(8.84, -11.91)
(7.67, -11.87)
(7.19, -11.8)
(6.58, -11.76)
(5.93, -11.77)
(5.47, -11.78)
(4.94, -11.78)
(4.52, -11.76)
(4.03, -11.77)
(3.61, -11.74)
(3.13, -11.7)
(2.78, -11.68)
(2.76, -11.29)
(2.69, -11.15)
(2.45, -11.12)
(0.17, -11.08)
(-1.82, -11.03)
(-3.82, -10.93)
(-5.18, -10.82)
(-7.47, -10.76)
(-8.83, -10.77)
(-10.45, -10.73)
(-10.53, -11.09)
(-11.55, -11.12)
(-12.33, -11.08)
(-13.5, -11.14)
(-14.34, -11.1)
(-15.41, -11.06)
(-16.35, -11.01)
(-17, -11)
(-17.82, -11)
(-18.01, -10.96)
(-17.95, -10.67)
(-17.81, -10.36)
(-17.73, -10.23)
(-18.37, -10.24)
(-19.05, -10.16)
(-20.31, -10.09)
(-21.4, -10.05)
(-22.28, -10)
(-22.74, -10)
(-22.94, -10.33)
(-22.88, -10.61)
(-22.89, -10.75)
(-23.36, -10.73)
(-23.92, -10.68)
(-24.48, -10.64)
(-25, -10.6)
