#Montagne2
(-25.0000000000000, -10.6000000000000)
(-24.4800000000000, -10.6400000000000)
(-23.9200000000000, -10.6800000000000)
(-23.3600000000000, -10.7300000000000)
(-22.8900000000000, -10.7500000000000)
(-22.8800000000000, -10.6100000000000)
(-22.9400000000000, -10.3300000000000)
(-22.7400000000000, -10.0000000000000)
(-22.2800000000000, -10.0000000000000)
(-21.4000000000000, -10.0500000000000)
(-20.3100000000000, -10.0900000000000)
(-19.0500000000000, -10.1600000000000)
(-18.3700000000000, -10.2400000000000)
(-17.7300000000000, -10.2300000000000)
(-16.5000000000000, -9.00000000000000)
(-15.9800000000000, -8.24000000000001)
(-16.2700000000000, -7.85000000000001)
(-16.2300000000000, -6.98000000000001)
(-16.0200000000000, -6.65000000000001)
(-16.1100000000000, -6.50000000000001)
(-16.2200000000000, -6.67000000000001)
(-16.4800000000000, -6.65000000000001)
(-16.6000000000000, -6.50000000000001)
(-16.5700000000000, -5.99000000000001)
(-15.7600000000000, -5.89000000000001)
(-15.5400000000000, -3.40000000000000)
(-15.3100000000000, -1.39000000000000)
(-17.7500000000000, -0.0900000000000001)
(-17.7900000000000, 0.190000000000000)
(-18.3300000000000, 0.630000000000001)
(-18.7800000000000, 1.54000000000000)
(-19.0800000000000, 2.56000000000000)
(-18.9900000000000, 3.68000000000000)
(-18.9000000000000, 5.24000000000001)
(-18.7100000000000, 8.89000000000001)
(-19.0500000000000, 9.11000000000001)
(-19.2100000000000, 8.93000000000001)
(-19.4100000000000, 8.86000000000001)
(-19.6100000000000, 8.42000000000001)
(-20.1400000000000, 7.91000000000001)
(-20.5900000000000, 7.90000000000001)
(-21.8700000000000, 5.54000000000001)
(-22.9800000000000, 4.85000000000000)
(-23.8700000000000, 3.60000000000000)
(-24.3100000000000, 2.62000000000000)
(-24.3200000000000, 2.38000000000000)
(-24.2200000000000, 2.28000000000000)
(-25.0000000000000, 0.820000000000001)
(-25.0000000000000, -10.6000000000000)
