#Rocher
(-10.9400000000000, -6.20000000000001)
(-10.9200000000000, -6.91000000000001)
(-11.0600000000000, -7.43000000000001)
(-11.4300000000000, -7.90000000000001)
(-11.2200000000000, -8.35000000000001)
(-11.0800000000000, -8.37000000000001)
(-10.8700000000000, -8.59000000000001)
(-10.5900000000000, -9.17000000000001)
(-10.3900000000000, -9.31000000000001)
(-10.4500000000000, -9.69000000000001)
(-10.6500000000000, -9.73000000000001)
(-10.7900000000000, -10.3700000000000)
(-10.6800000000000, -10.4700000000000)
(-10.6800000000000, -10.9000000000000)
(-10.5300000000000, -11.0900000000000)
(-10.4500000000000, -10.7300000000000)
(-8.83000000000001, -10.7700000000000)
(-7.47000000000001, -10.7600000000000)
(-5.18000000000001, -10.8200000000000)
(-3.82000000000000, -10.9300000000000)
(-1.82000000000000, -11.0300000000000)
(0.170000000000000, -11.0800000000000)
(2.45000000000000, -11.1200000000000)
(2.69000000000000, -11.1500000000000)
(3.19000000000000, -9.83000000000001)
(3.39000000000000, -9.40000000000001)
(3.91000000000000, -9.18000000000001)
(4.31000000000000, -8.07000000000001)
(4.06000000000000, -7.86000000000001)
(4.00000000000000, -7.40000000000001)
(4.00000000000000, -7.24000000000001)
(-0.200000000000000, -6.99000000000001)
(-0.500000000000001, -5.32000000000001)
(-1.31000000000000, -5.09000000000001)
(-1.43000000000000, -5.33000000000001)
(-2.25000000000000, -5.37000000000001)
(-2.33000000000000, -5.20000000000001)
(-2.82000000000000, -5.20000000000001)
(-3.00000000000000, -5.00000000000000)
(-3.36000000000000, -5.00000000000000)
(-4.29000000000000, -5.14000000000001)
(-4.81000000000000, -5.08000000000001)
(-5.19000000000001, -5.02000000000000)
(-5.50000000000001, -5.50000000000001)
(-6.43000000000001, -5.71000000000001)
(-6.90000000000001, -5.96000000000001)
(-7.50000000000001, -6.00000000000000)
(-8.08000000000001, -5.93000000000001)
(-8.35000000000001, -5.89000000000001)
(-8.90000000000001, -6.28000000000001)
(-9.56000000000001, -6.09000000000001)
(-10.0200000000000, -6.15000000000001)
(-10.7500000000000, -6.14000000000001)
