#Statue1
(-10.5300000000000, -11.0900000000000)
(-11.5500000000000, -11.1200000000000)
(-12.3300000000000, -11.0800000000000)
(-13.5000000000000, -11.1400000000000)
(-14.3400000000000, -11.1000000000000)
(-15.4100000000000, -11.0600000000000)
(-16.3500000000000, -11.0100000000000)
(-17.0000000000000, -11.0000000000000)
(-17.8200000000000, -11.0000000000000)
(-18.0100000000000, -10.9600000000000)
(-17.9500000000000, -10.6700000000000)
(-17.8100000000000, -10.3600000000000)
(-17.7300000000000, -10.2300000000000)
(-16.5000000000000, -9.00000000000000)
(-15.9800000000000, -8.24000000000001)
(-16.2700000000000, -7.85000000000001)
(-16.2300000000000, -6.98000000000001)
(-16.0200000000000, -6.65000000000001)
(-16.1100000000000, -6.50000000000001)
(-16.2200000000000, -6.67000000000001)
(-16.4800000000000, -6.65000000000001)
(-16.6000000000000, -6.50000000000001)
(-16.5700000000000, -5.99000000000001)
(-15.7600000000000, -5.89000000000001)
(-15.5400000000000, -3.40000000000000)
(-15.2600000000000, -1.11000000000000)
(-15.0100000000000, -0.360000000000000)
(-14.9400000000000, -1.43000000000000)
(-15.0100000000000, -3.20000000000000)
(-15.0100000000000, -4.14000000000000)
(-14.9600000000000, -5.35000000000001)
(-14.5200000000000, -4.46000000000001)
(-14.6500000000000, -4.15000000000000)
(-14.4800000000000, -3.91000000000000)
(-14.6100000000000, -3.57000000000000)
(-14.6200000000000, -3.36000000000000)
(-14.7200000000000, -3.19000000000000)
(-14.7000000000000, -2.89000000000000)
(-14.5000000000000, -2.55000000000000)
(-14.3100000000000, -1.83000000000000)
(-14.0500000000000, -0.950000000000001)
(-14.1600000000000, -0.840000000000001)
(-14.1200000000000, -0.640000000000001)
(-13.9400000000000, -0.630000000000001)
(-13.9500000000000, -0.490000000000001)
(-14.0900000000000, -0.380000000000000)
(-14.0600000000000, -0.270000000000000)
(-14.4200000000000, 0.0700000000000001)
(-14.6600000000000, 0.430000000000000)
(-14.7600000000000, 0.700000000000001)
(-14.4300000000000, 0.990000000000001)
(-14.0800000000000, 0.730000000000001)
(-13.7300000000000, 0.590000000000001)
(-13.3300000000000, 0.520000000000001)
(-13.1600000000000, 0.950000000000001)
(-12.9100000000000, 0.940000000000001)
(-12.7500000000000, 0.570000000000001)
(-12.4100000000000, 0.560000000000001)
(-12.0400000000000, 0.630000000000001)
(-11.6500000000000, 0.940000000000001)
(-11.3200000000000, 1.43000000000000)
(-11.1800000000000, 1.86000000000000)
(-11.1000000000000, 1.91000000000000)
(-11.0200000000000, 1.84000000000000)
(-10.9600000000000, 1.36000000000000)
(-11.0100000000000, 1.15000000000000)
(-11.1900000000000, 0.760000000000001)
(-11.5500000000000, 0.190000000000000)
(-12.2000000000000, -0.400000000000000)
(-12.1700000000000, -0.490000000000001)
(-12.3500000000000, -0.650000000000001)
(-12.2900000000000, -0.780000000000001)
(-12.2000000000000, -2.20000000000000)
(-12.1800000000000, -2.92000000000000)
(-12.0800000000000, -3.07000000000000)
(-12.0200000000000, -3.29000000000000)
(-12.0600000000000, -3.47000000000000)
(-12.1200000000000, -3.57000000000000)
(-12.0000000000000, -3.80000000000000)
(-12.0900000000000, -4.01000000000000)
(-12.0900000000000, -4.17000000000000)
(-12.0000000000000, -4.32000000000000)
(-11.9700000000000, -4.79000000000001)
(-11.6100000000000, -4.83000000000001)
(-11.4400000000000, -4.96000000000001)
(-11.4100000000000, -5.34000000000001)
(-11.1400000000000, -5.73000000000001)
(-10.9400000000000, -6.20000000000001)
(-10.9200000000000, -6.91000000000001)
(-11.0600000000000, -7.43000000000001)
(-11.4300000000000, -7.90000000000001)
(-11.2200000000000, -8.35000000000001)
(-11.0800000000000, -8.37000000000001)
(-10.8700000000000, -8.59000000000001)
(-10.5900000000000, -9.17000000000001)
(-10.3900000000000, -9.31000000000001)
(-10.4500000000000, -9.69000000000001)
(-10.6500000000000, -9.73000000000001)
(-10.7900000000000, -10.3700000000000)
(-10.6800000000000, -10.4700000000000)
(-10.6800000000000, -10.9000000000000)
(-10.5300000000000, -11.0900000000000)
