#trou
(-9.75000000000001, 4.82000000000001)
(-9.71000000000001, 4.86000000000001)
(-9.67000000000001, 4.87000000000001)
(-9.64000000000001, 4.84000000000001)
(-9.61000000000001, 4.81000000000000)
(-9.75000000000001, 3.95000000000000)
(-9.78000000000001, 3.91000000000000)
(-9.83000000000001, 3.91000000000000)
(-9.88000000000001, 3.94000000000000)
(-9.89000000000001, 3.98000000000000)
(-9.75000000000001, 4.82000000000001)
# , #
(-3.88000000000000, 5.08000000000001)
(-3.83000000000000, 5.12000000000001)
(-3.78000000000000, 5.12000000000001)
(-3.73000000000000, 5.09000000000001)
(-3.77000000000000, 4.21000000000000)
(-3.80000000000000, 4.18000000000000)
(-3.88000000000000, 4.18000000000000)
(-3.93000000000000, 4.20000000000000)
(-3.88000000000000, 5.08000000000001)
# , #
(-0.440000000000001, 5.16000000000001)
(-0.300000000000000, 5.16000000000001)
(-0.250000000000000, 5.10000000000000)
(-0.250000000000000, 5.02000000000000)
(-0.280000000000000, 4.92000000000001)
(-0.440000000000001, 4.91000000000001)
(-0.440000000000001, 5.16000000000001)
# , #
(1.21000000000000, 4.58000000000001)
(1.37000000000000, 4.58000000000001)
(1.27000000000000, 5.11000000000001)
(1.21000000000000, 4.58000000000001)
# , #
(7.39000000000001, 4.88000000000001)
(7.40000000000001, 4.95000000000001)
(7.48000000000001, 4.98000000000001)
(7.55000000000001, 4.94000000000001)
(7.67000000000001, 4.08000000000000)
(7.65000000000001, 4.02000000000000)
(7.58000000000001, 4.01000000000000)
(7.52000000000001, 4.05000000000000)
(7.39000000000001, 4.88000000000001)
# , #
(10.7800000000000, 4.75000000000001)
(10.8900000000000, 4.74000000000001)
(10.9600000000000, 4.67000000000001)
(10.9700000000000, 4.56000000000000)
(10.9400000000000, 4.50000000000001)
(10.8200000000000, 4.50000000000001)
(10.7900000000000, 4.53000000000001)
(10.7800000000000, 4.75000000000001)
# , #
(-16.5500000000000, 0.700000000000001)
(-16.1900000000000, 0.710000000000001)
(-16.1200000000000, 0.670000000000001)
(-16.0800000000000, 0.580000000000001)
(-16.2500000000000, -3.03000000000000)
(-16.3200000000000, -3.21000000000000)
(-16.4000000000000, -3.27000000000000)
(-16.7400000000000, -3.31000000000000)
(-16.5500000000000, 0.700000000000001)
# , #
(-9.90000000000001, 0.600000000000001)
(-9.54000000000001, 0.590000000000001)
(-9.45000000000001, 0.480000000000001)
(-9.40000000000001, 0.200000000000000)
(-9.49000000000001, -0.0600000000000001)
(-9.63000000000001, -0.130000000000000)
(-9.92000000000001, -0.140000000000000)
(-9.90000000000001, 0.600000000000001)
# , #
(-3.18000000000000, 0.480000000000001)
(-2.98000000000000, -1.25000000000000)
(-3.39000000000000, -1.26000000000000)
(-3.18000000000000, 0.480000000000001)
# , #
(9.86000000000001, 0.280000000000000)
(9.96000000000001, 0.450000000000001)
(10.1500000000000, 0.470000000000000)
(10.3000000000000, 0.380000000000000)
(10.3700000000000, 0.210000000000000)
(10.4100000000000, -2.86000000000000)
(10.3500000000000, -3.02000000000000)
(10.2200000000000, -3.09000000000000)
(10.0500000000000, -3.09000000000000)
(9.92000000000001, -2.94000000000000)
(9.86000000000001, 0.280000000000000)
